 90  th  1.600 2.400  0.00 0.73 1.00  Thorium
 91  pa  1.600 2.000  0.00 0.63 1.00  Protactinium
 92   u  1.600 2.300  0.00 0.56 1.00  Uranium
 93  np  1.600 2.000  0.00 0.50 1.00  Neptunium
 94  pu  1.600 2.000  0.00 0.42 1.00  Plutonium
 95  am  1.600 2.000  0.33 0.36 0.95  Americium
 96  cm  1.600 2.000  0.47 0.36 0.89  Curium
 97  bk  1.600 2.000  0.54 0.31 0.89  Berkelium
 98  cf  1.600 2.000  0.63 0.21 0.83  Californium
 99  es  1.600 2.000  0.70 0.12 0.83  Einsteinium
100  fm  1.600 2.000  0.70 0.12 0.73  Fermium
101  md  1.600 2.000  0.70 0.05 0.65  Mendelevium
102  no  1.600 2.000  0.74 0.05 0.53  Nobelium
103  lr  1.600 2.000  0.78 0.00 0.40  Lawrencium
104  rf  1.600 2.000  0.80 0.00 0.35  Rutherfordium
105  db  1.600 2.000  0.82 0.00 0.31  Dubnium
106  sg  1.600 2.000  0.85 0.00 0.27  Seaborgium
107  bh  1.600 2.000  0.88 0.00 0.22  Bohrium
108  hs  1.600 2.000  0.90 0.00 0.18  Hassium
109  mt  1.600 2.000  0.92 0.00 0.15  Meitnerium
110  ds  1.600 2.000  0.93 0.00 0.14  Darmstadtium
111  rg  1.600 2.000  0.94 0.00 0.13  Roentgenium
112 uub  1.600 2.000  0.95 0.00 0.12  Ununbium
113 uut  1.600 2.000  0.96 0.00 0.11  Ununtrium
114 uuq  1.600 2.000  0.97 0.00 0.10  Ununquadium
115 uup  1.600 2.000  0.98 0.00 0.09  Ununpentium
116 uuh  1.600 2.000  0.99 0.00 0.08  Ununhexium
